Epoch	Train Loss	Test Loss
1	0.30671268535984886	0.2610324412584305
2	0.1265354636642668	0.2092479944229126
3	0.10219089769654804	0.20361853539943695
4	0.08615931454632017	0.21614970266819
5	0.07768228870851022	0.23019093424081802
6	0.07017343808655385	0.21997851729393006
7	0.06441358504471956	0.24096526205539703
8	0.057869227672064746	0.25338680297136307
9	0.05400014516931993	0.26122209131717683
10	0.050391320415117125	0.2580761253833771
11	0.04576531949418562	0.25846162140369416
12	0.042181149814967754	0.2628213807940483
