step	train_stu/accuracy_5
1	0.021249009580061946
2	0.027750485386687476
3	0.036480266553704094
4	0.061815120217490506
5	0.07227523946615486
6	0.10321115548014238
7	0.162194079081321
8	0.2067296432196112
9	0.26835460176691606
10	0.45984215413184776
11	0.4803879963625341
12	0.4803879963625341
13	0.4803879963625341
14	0.4803879963625341
15	0.4803879963625341
16	0.4803879963625341
17	0.4803879963625341
18	0.4803879963625341
19	0.4803879963625341
20	0.4803879963625341
21	0.4803879963625341
22	0.4803879963625341
23	0.4803879963625341
24	0.4803879963625341
25	0.4803879963625341
26	0.4803879963625341
27	0.4803879963625341
28	0.4803879963625341
29	0.4803879963625341
30	0.4803879963625341
31	0.4803879963625341
32	0.4803879963625341
33	0.4803879963625341
34	0.4803879963625341
35	0.4803879963625341
36	0.4803879963625341
37	0.4803879963625341
38	0.4803879963625341
39	0.4803879963625341
40	0.4803879963625341
41	0.4803879963625341
42	0.4803879963625341
43	0.4803879963625341
44	0.4803879963625341
45	0.4803879963625341
46	0.4803879963625341
47	0.4803879963625341
48	0.4803879963625341
49	0.4810126582278481
50	0.4811046511627907
