step	train_stu/recall_5
1	0.650887573964497
2	0.5920168488616989
3	0.51389028181727
4	0.4822986661317822
5	0.4078828602948551
6	0.4056764617390432
7	0.3994584294453916
8	0.3983552301674857
9	0.3975529034199178
10	0.39735232173302576
11	0.39735232173302576
12	0.39735232173302576
13	0.39735232173302576
14	0.39735232173302576
15	0.39735232173302576
16	0.39735232173302576
17	0.39735232173302576
18	0.39735232173302576
19	0.39735232173302576
20	0.39735232173302576
21	0.39735232173302576
22	0.39735232173302576
23	0.39735232173302576
24	0.39735232173302576
25	0.39735232173302576
26	0.39735232173302576
27	0.39735232173302576
28	0.39735232173302576
29	0.39735232173302576
30	0.39735232173302576
31	0.39735232173302576
32	0.39735232173302576
33	0.39735232173302576
34	0.39735232173302576
35	0.39735232173302576
36	0.39735232173302576
37	0.39735232173302576
38	0.39735232173302576
39	0.39735232173302576
40	0.39735232173302576
41	0.39735232173302576
42	0.39735232173302576
43	0.39735232173302576
44	0.39735232173302576
45	0.39735232173302576
46	0.39735232173302576
47	0.39735232173302576
48	0.39735232173302576
49	0.3982549393240397
50	0.3983552301674857
